,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi,opened_at
566,closed,0.0056,361.0,-0.01597501806544854,1666547940000.0,1666569600000,19483.0,19374.0,1666564380000.0,19683.5,2022-10-20 00:00:00,sell,15m,3,2022-10-23 17:59:00
567,closed,0.0107,19453.0,-0.10198634707180619,1666712820000.0,1667880000000,19694.0,19483.0,1667609100000.0,21470.0,2022-10-20 00:00:00,sell,15m,4,2022-10-25 15:47:00
568,closed,0.0053,19438.0,-0.0901797501777191,1666713720000.0,1667880000000,19799.0,19694.0,1667609100000.0,21470.0,2022-10-20 00:00:00,sell,1h,2,2022-10-25 16:02:00
569,closed,0.0092,19380.0,-0.08439820192939038,1666717200000.0,1667880000000,19982.5,19799.0,1667609100000.0,21470.0,2022-10-20 00:00:00,sell,1h,3,2022-10-25 17:00:00
570,closed,0.0229,3083.0,-0.05136994870511698,1666773420000.0,1666958400000,20451.0,19982.5,1666795380000.0,21009.0,2022-10-20 00:00:00,sell,1h,4,2022-10-26 08:37:00
571,closed,0.0305,22.0,-0.09781703944365384,1667935380000.0,1667936700000,18071.0,18621.5,1667935920000.0,16800.0,2022-10-22 00:00:00,buy,1h,-4,2022-11-08 19:23:00
572,closed,0.0203,3.0,-0.034210526315789476,1667931540000.0,1667931720000,18621.5,19000.0,1667931660000.0,18350.0,2022-10-22 00:00:00,buy,15m,-4,2022-11-08 18:19:00
573,closed,0.0008,1.0,-0.010491441192711209,1667930760000.0,1667930820000,19000.0,19015.5,1667930820000.0,18816.0,2022-10-22 00:00:00,buy,15m,-3,2022-11-08 18:06:00
574,closed,0.002,1.0,-0.012464901461673708,1667930760000.0,1667930820000,19015.5,19053.5,1667930820000.0,18816.0,2022-10-22 00:00:00,buy,1m,-4,2022-11-08 18:06:00
575,closed,0.0029,2.0,-0.0030875503689361036,1666527900000.0,1666528020000,19053.5,19109.0,1666527900000.0,19050.0,2022-10-22 00:00:00,buy,1m,-3,2022-10-23 12:25:00
576,closed,0.0046,538.0,-0.0048968535111481555,1666407720000.0,1666440000000,19109.0,19196.0,1666407720000.0,19102.0,2022-10-22 00:00:00,buy,1m,-2,2022-10-22 03:02:00
577,closed,0.0045,1369.0,-0.006829242765189178,1666444260000.0,1666526400000,19196.0,19109.0,1666444560000.0,19239.5,2022-10-22 00:00:00,sell,1m,2,2022-10-22 13:11:00
578,closed,0.0012,14.0,-0.0022660971035632425,1666444560000.0,1666445400000,19218.5,19196.0,1666444560000.0,19239.5,2022-10-22 00:00:00,sell,1m,3,2022-10-22 13:16:00
579,closed,0.0015,1094.0,-0.02419543668860733,1666547160000.0,1666612800000,19247.0,19218.5,1666564380000.0,19683.5,2022-10-22 00:00:00,sell,1m,4,2022-10-23 17:46:00
580,closed,0.0061,1089.0,-0.022678859042967736,1666547460000.0,1666612800000,19365.5,19247.0,1666564380000.0,19683.5,2022-10-22 00:00:00,sell,15m,2,2022-10-23 17:51:00
581,closed,0.006,361.0,-0.016420954790736103,1666547940000.0,1666569600000,19483.0,19365.5,1666564380000.0,19683.5,2022-10-22 00:00:00,sell,15m,3,2022-10-23 17:59:00
582,closed,0.0107,19453.0,-0.10198634707180619,1666712820000.0,1667880000000,19694.0,19483.0,1667609100000.0,21470.0,2022-10-22 00:00:00,sell,15m,4,2022-10-25 15:47:00
583,closed,0.0013,19453.0,-0.0901797501777191,1666712820000.0,1667880000000,19720.0,19694.0,1667609100000.0,21470.0,2022-10-22 00:00:00,sell,1h,2,2022-10-25 15:47:00
584,closed,0.0131,19380.0,-0.08874239350912778,1666717200000.0,1667880000000,19982.5,19720.0,1667609100000.0,21470.0,2022-10-22 00:00:00,sell,1h,3,2022-10-25 17:00:00
585,closed,0.0229,3083.0,-0.05136994870511698,1666773420000.0,1666958400000,20451.0,19982.5,1666795380000.0,21009.0,2022-10-22 00:00:00,sell,1h,4,2022-10-26 08:37:00
586,closed,0.0305,22.0,-0.09781703944365384,1667935380000.0,1667936700000,18071.0,18621.5,1667935920000.0,16800.0,2022-10-24 00:00:00,buy,1h,-4,2022-11-08 19:23:00
587,closed,0.0125,3.0,-0.026783346592415803,1667931540000.0,1667931720000,18621.5,18855.0,1667931660000.0,18350.0,2022-10-24 00:00:00,buy,15m,-4,2022-11-08 18:19:00
588,closed,0.009,1.0,-0.010985545335085414,1667930820000.0,1667930880000,18855.0,19025.0,1667930820000.0,18816.0,2022-10-24 00:00:00,buy,15m,-3,2022-11-08 18:07:00
589,open,-0.1023,47874.0,-0.19425962165688193,1667930760000.0,1670803200000,19025.0,19162.5,1669067520000.0,15440.0,2022-10-24 00:00:00,buy,15m,-2,2022-11-08 18:06:00
590,closed,0.0051,20.0,-0.005451713395638629,1666621500000.0,1666622700000,19162.5,19260.0,1666621500000.0,19155.0,2022-10-24 00:00:00,buy,1m,-4,2022-10-24 14:25:00
591,closed,0.0076,60.0,-0.007987014660036585,1666594800000.0,1666598400000,19260.0,19406.5,1666594800000.0,19251.5,2022-10-24 00:00:00,buy,1m,-3,2022-10-24 07:00:00
592,closed,0.006,2084.0,-0.01882443334613907,1666574160000.0,1666699200000,19406.5,19522.5,1666621500000.0,19155.0,2022-10-24 00:00:00,buy,1m,-2,2022-10-24 01:16:00
593,closed,0.0048,2120.0,-0.02347633249216181,1666572000000.0,1666699200000,19522.5,19615.5,1666621500000.0,19155.0,2022-10-24 00:00:00,buy,1m,2,2022-10-24 00:40:00
594,closed,0.0047,19490.0,-0.09975669099756691,1666710600000.0,1667880000000,19615.5,19522.5,1667609100000.0,21470.0,2022-10-24 00:00:00,sell,1m,3,2022-10-25 15:10:00
595,closed,0.0035,19453.0,-0.09454258112207183,1666712820000.0,1667880000000,19683.5,19615.5,1667609100000.0,21470.0,2022-10-24 00:00:00,sell,1m,4,2022-10-25 15:47:00
596,closed,0.0011,19453.0,-0.09076129753346712,1666712820000.0,1667880000000,19704.5,19683.5,1667609100000.0,21470.0,2022-10-24 00:00:00,sell,1h,2,2022-10-25 15:47:00
597,closed,0.02,19372.0,-0.08959882260397371,1666717680000.0,1667880000000,20106.0,19704.5,1667609100000.0,21470.0,2022-10-24 00:00:00,sell,1h,3,2022-10-25 17:08:00
598,closed,0.0169,2603.0,-0.04491196657714115,1666773420000.0,1666929600000,20451.0,20106.0,1666795380000.0,21009.0,2022-10-24 00:00:00,sell,1h,4,2022-10-26 08:37:00
599,closed,0.0305,22.0,-0.09781703944365384,1667935380000.0,1667936700000,18071.0,18621.5,1667935920000.0,16800.0,2022-10-26 00:00:00,buy,1h,-4,2022-11-08 19:23:00
600,closed,0.0125,3.0,-0.026783346592415803,1667931540000.0,1667931720000,18621.5,18855.0,1667931660000.0,18350.0,2022-10-26 00:00:00,buy,15m,-4,2022-11-08 18:19:00
601,closed,0.0098,1.0,-0.01179065675796329,1667930820000.0,1667930880000,18855.0,19040.5,1667930820000.0,18816.0,2022-10-26 00:00:00,buy,15m,-3,2022-11-08 18:07:00
602,open,-0.1031,47875.0,-0.20936067798346006,1667930700000.0,1670803200000,19040.5,19528.5,1669067520000.0,15440.0,2022-10-26 00:00:00,buy,15m,-2,2022-11-08 18:05:00
603,closed,0.0051,1.0,-0.005221998624449143,1667881080000.0,1667881140000,19528.5,19628.5,1667881080000.0,19526.0,2022-10-26 00:00:00,buy,15m,2,2022-11-08 04:18:00
604,closed,0.0141,709.0,-0.03544157540440068,1667880660000.0,1667923200000,19628.5,19906.0,1667921340000.0,19200.5,2022-10-26 00:00:00,buy,1m,-4,2022-11-08 04:11:00
605,closed,0.007,709.0,-0.04210631345256804,1667880660000.0,1667923200000,19906.0,20044.5,1667921340000.0,19200.5,2022-10-26 00:00:00,buy,1m,-3,2022-11-08 04:11:00
606,closed,0.0041,2.0,-0.00427286729269141,1666743180000.0,1666743300000,20044.5,20127.0,1666743180000.0,20041.0,2022-10-26 00:00:00,buy,1m,-2,2022-10-26 00:13:00
607,closed,0.0041,11.0,-0.004440120731372696,1666742520000.0,1666743180000,20127.0,20044.5,1666742520000.0,20133.5,2022-10-26 00:00:00,sell,1m,2,2022-10-26 00:02:00
608,closed,0.0056,135.0,-0.008570576837084513,1666748700000.0,1666756800000,20240.0,20127.0,1666754940000.0,20299.5,2022-10-26 00:00:00,sell,1m,3,2022-10-26 01:45:00
609,closed,0.0078,2124.0,-0.03799407114624506,1666773360000.0,1666900800000,20400.0,20240.0,1666795380000.0,21009.0,2022-10-26 00:00:00,sell,1m,4,2022-10-26 08:36:00
610,closed,0.0017,204.0,-0.0196078431372549,1666773360000.0,1666785600000,20435.0,20400.0,1666773480000.0,20800.0,2022-10-26 00:00:00,sell,1h,4,2022-10-26 08:36:00
611,open,-0.0549,47797.0,-0.18090185676392573,1667935380000.0,1670803200000,18071.0,18850.0,1669067520000.0,15440.0,2022-10-28 00:00:00,buy,1h,-4,2022-11-08 19:23:00
612,closed,0.0106,1.0,-0.012283464566929133,1667930820000.0,1667930880000,18850.0,19050.0,1667930820000.0,18816.0,2022-10-28 00:00:00,buy,1h,-3,2022-11-08 18:07:00
613,open,-0.1035,47875.0,-0.20217026224002066,1667930700000.0,1670803200000,19050.0,19352.5,1669067520000.0,15440.0,2022-10-28 00:00:00,buy,15m,-4,2022-11-08 18:05:00
614,closed,0.0244,34.0,-0.024665825977301388,1667885160000.0,1667887200000,19352.5,19825.0,1667885160000.0,19336.0,2022-10-28 00:00:00,buy,15m,-3,2022-11-08 05:26:00
615,closed,0.0049,709.0,-0.03621624334906134,1667880660000.0,1667923200000,19825.0,19922.0,1667921340000.0,19200.5,2022-10-28 00:00:00,buy,15m,2,2022-11-08 04:11:00
616,closed,0.0131,709.0,-0.04865601387340518,1667880660000.0,1667923200000,19922.0,20182.5,1667921340000.0,19200.5,2022-10-28 00:00:00,buy,15m,-2,2022-11-08 04:11:00
617,closed,0.0061,9.0,-0.008052005614242446,1666916460000.0,1666917000000,20182.5,20305.5,1666916520000.0,20142.0,2022-10-28 00:00:00,buy,1m,-4,2022-10-28 00:21:00
618,closed,0.0061,87.0,-0.0071101201535984145,1666917180000.0,1666922400000,20305.5,20182.5,1666918020000.0,20326.0,2022-10-28 00:00:00,sell,1m,-3,2022-10-28 00:33:00
619,closed,0.0059,4228.0,-0.039127330033734704,1666963920000.0,1667217600000,20426.5,20305.5,1667038920000.0,21100.0,2022-10-28 00:00:00,sell,1m,2,2022-10-28 13:32:00
620,closed,0.0004,1.0,-0.0024967566641372727,1666963920000.0,1666963980000,20434.0,20426.5,1666963980000.0,20477.5,2022-10-28 00:00:00,sell,1m,-2,2022-10-28 13:32:00
621,closed,0.0051,19.0,-0.006998140354311442,1666964460000.0,1666965600000,20539.0,20434.0,1666964520000.0,20577.0,2022-10-28 00:00:00,sell,1m,3,2022-10-28 13:41:00
