,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi
165,closed,0.0098,434.0,-0.030318506825146252,1661215560000,1661241600000,21330.0,21538.0,1661235060000,20885.0,2022-08-23 00:00:00,buy,1m,3
164,closed,0.0038,33.0,-0.0037974683544303796,1661220720000,1661222700000,21250.0,21330.0,1661220720000,21249.0,2022-08-23 00:00:00,buy,1m,2
163,closed,0.0064,94.0,-0.017176470588235293,1661232360000,1661238000000,21114.0,21250.0,1661235060000,20885.0,2022-08-23 00:00:00,buy,1m,-2
162,closed,0.0036,88.0,-0.010845884247418775,1661232720000,1661238000000,21038.0,21114.0,1661235060000,20885.0,2022-08-23 00:00:00,buy,1m,-3
161,closed,0.0039,24.0,-0.005109801311911778,1661232960000,1661234400000,20955.5,21038.0,1661233560000,20930.5,2022-08-23 00:00:00,buy,1m,-4
166,closed,0.0097,11.0,-0.011017346460384434,1661248140000,1661248800000,21538.0,21330.0,1661248140000,21565.0,2022-08-23 00:00:00,sell,1m,4
174,closed,0.0042,30.0,-0.006436116876151389,1661385600000,1661387400000,21351.0,21441.5,1661386500000,21303.5,2022-08-25 00:00:00,buy,1m,-4
175,closed,0.0042,1640.0,-0.021497822116060137,1661388000000,1661486400000,21441.5,21351.0,1661414760000,21810.0,2022-08-25 00:00:00,sell,1m,-3
176,closed,0.0051,89.0,-0.00909451297717044,1661391060000,1661396400000,21551.0,21441.5,1661391300000,21636.5,2022-08-25 00:00:00,sell,1m,-2
177,closed,0.0053,344.0,-0.012018003804927846,1661408160000,1661428800000,21665.5,21551.0,1661414760000,21810.0,2022-08-25 00:00:00,sell,1m,2
178,closed,0.0041,60.0,-0.006669589900994669,1661414400000,1661418000000,21755.0,21665.5,1661414760000,21810.0,2022-08-25 00:00:00,sell,1m,3
173,closed,0.0157,20220.0,-0.13582501990539084,1661526000000,1662739200000,21022.0,21351.0,1662517440000,18451.0,2022-08-25 00:00:00,buy,15m,-2
172,closed,0.0079,19736.0,-0.12230044715060413,1661526240000,1662710400000,20858.0,21022.0,1662517440000,18451.0,2022-08-25 00:00:00,buy,15m,-3
160,closed,0.0109,19725.0,-0.11951516308367732,1661526900000,1662710400000,20730.0,20955.5,1662517440000,18451.0,2022-08-23 00:00:00,buy,15m,-4
151,closed,0.0105,19725.0,-0.11922094660715564,1661526900000,1662710400000,20730.0,20948.5,1662517440000,18451.0,2022-08-21 00:00:00,buy,1m,-4
171,closed,0.0062,9.0,-0.01200978041998274,1661526900000,1661527440000,20730.0,20858.0,1661526960000,20607.5,2022-08-25 00:00:00,buy,15m,-4
119,closed,0.0802,23565.0,-0.17445190156599552,1661526900000,1662940800000,20691.0,22350.0,1662517440000,18451.0,2022-08-15 00:00:00,buy,1h,-4
103,closed,0.0419,20445.0,-0.14412283143148716,1661526900000,1662753600000,20691.0,21558.0,1662517440000,18451.0,2022-08-13 00:00:00,buy,1h,-4
48,closed,0.033,20205.0,-0.13675493590343407,1661526900000,1662739200000,20691.0,21374.0,1662517440000,18451.0,2022-08-07 00:00:00,buy,1h,-4
68,closed,0.033,20205.0,-0.13675493590343407,1661526900000,1662739200000,20691.0,21374.0,1662517440000,18451.0,2022-08-09 00:00:00,buy,1h,-4
86,closed,0.033,20205.0,-0.13675493590343407,1661526900000,1662739200000,20691.0,21374.0,1662517440000,18451.0,2022-08-11 00:00:00,buy,1h,-4
67,closed,0.016,19008.0,-0.10825962979073027,1661555520000,1662696000000,20365.0,20691.0,1662517440000,18451.0,2022-08-09 00:00:00,buy,4h,-3
30,closed,0.0039,4608.0,-0.04566020201032062,1661555520000,1661832000000,20365.0,20444.5,1661731020000,19511.0,2022-08-05 00:00:00,buy,4h,-3
31,closed,0.0291,19248.0,-0.12305133079847909,1661555520000,1662710400000,20444.5,21040.0,1662517440000,18451.0,2022-08-05 00:00:00,buy,1h,-4
47,closed,0.016,19008.0,-0.10825962979073027,1661555520000,1662696000000,20365.0,20691.0,1662517440000,18451.0,2022-08-07 00:00:00,buy,4h,-3
159,closed,0.0179,19008.0,-0.10993728895320791,1661555520000,1662696000000,20365.0,20730.0,1662517440000,18451.0,2022-08-23 00:00:00,buy,4h,-3
133,closed,0.0331,19248.0,-0.12305133079847909,1661555520000,1662710400000,20365.0,21040.0,1662517440000,18451.0,2022-08-17 00:00:00,buy,4h,-3
85,closed,0.016,19008.0,-0.10825962979073027,1661555520000,1662696000000,20365.0,20691.0,1662517440000,18451.0,2022-08-11 00:00:00,buy,4h,-3
145,closed,0.0975,23088.0,-0.17445190156599552,1661555520000,1662940800000,20365.0,22350.0,1662517440000,18451.0,2022-08-19 00:00:00,buy,4h,-3
150,closed,0.0179,19008.0,-0.10993728895320791,1661555520000,1662696000000,20365.0,20730.0,1662517440000,18451.0,2022-08-21 00:00:00,buy,4h,-3
102,closed,0.016,19008.0,-0.10825962979073027,1661555520000,1662696000000,20365.0,20691.0,1662517440000,18451.0,2022-08-13 00:00:00,buy,4h,-3
118,closed,0.016,19008.0,-0.10825962979073027,1661555520000,1662696000000,20365.0,20691.0,1662517440000,18451.0,2022-08-15 00:00:00,buy,4h,-3
170,closed,0.0179,19008.0,-0.10993728895320791,1661555520000,1662696000000,20365.0,20730.0,1662517440000,18451.0,2022-08-25 00:00:00,buy,4h,-3
2,closed,0.0327,19002.0,-0.11295401552847287,1661555880000,1662696000000,20141.0,20800.5,1662517440000,18451.0,2022-08-01 00:00:00,buy,1h,-3
17,closed,0.0612,19722.0,-0.13675493590343407,1661555880000,1662739200000,20141.0,21374.0,1662517440000,18451.0,2022-08-03 00:00:00,buy,1h,-3
183,closed,0.0081,211.0,-0.013990540204132438,1661560140000,1661572800000,20250.0,20085.0,1661560380000,20366.0,2022-08-27 00:00:00,sell,1m,-3
182,closed,0.0082,113.0,-0.016790123456790124,1661576820000,1661583600000,20085.0,20250.0,1661577240000,19910.0,2022-08-27 00:00:00,buy,1m,-4
196,closed,0.0162,12279.0,-0.05422582133155656,1661743260000,1662480000000,19833.0,19511.0,1661844720000,20569.0,2022-08-29 00:00:00,sell,1m,-3
197,closed,0.0053,10.0,-0.005495890687238441,1661744100000,1661744700000,19939.0,19833.0,1661744100000,19942.0,2022-08-29 00:00:00,sell,1m,-2
198,closed,0.0041,6.0,-0.004563919955865389,1661776500000,1661776860000,20021.5,19939.0,1661776500000,20030.0,2022-08-29 00:00:00,sell,1m,2
199,closed,0.0018,1.0,-0.0027720200784157032,1661780040000,1661780100000,20057.5,20021.5,1661780040000,20077.0,2022-08-29 00:00:00,sell,1m,3
200,closed,0.0039,1314.0,-0.025501682662345756,1661781960000,1661860800000,20135.5,20057.5,1661844720000,20569.0,2022-08-29 00:00:00,sell,1m,4
201,closed,0.0183,444.0,-0.0215291400759852,1661834160000,1661860800000,20510.0,20135.5,1661844720000,20569.0,2022-08-29 00:00:00,sell,15m,-2
184,closed,0.0127,444.0,-0.015753086419753086,1661834160000,1661860800000,20510.0,20250.0,1661844720000,20569.0,2022-08-27 00:00:00,sell,1m,-2
213,closed,0.0063,2153.0,-0.037923090554669504,1661904420000,1662033600000,19876.0,19750.5,1661926380000,20499.5,2022-08-31 00:00:00,sell,1m,2
214,closed,0.0038,692.0,-0.031369490843228015,1661905680000,1661947200000,19952.5,19876.0,1661926380000,20499.5,2022-08-31 00:00:00,sell,1m,3
215,closed,0.0063,625.0,-0.027415110888359854,1661909700000,1661947200000,20079.0,19952.5,1661926380000,20499.5,2022-08-31 00:00:00,sell,1m,4
212,closed,0.0064,73.0,-0.0113956530489032,1662043620000,1662048000000,19750.5,19876.0,1662043620000,19649.5,2022-08-31 00:00:00,buy,1m,-2
211,closed,0.0036,1.0,-0.005113794587478798,1662043620000,1662043680000,19680.0,19750.5,1662043620000,19649.5,2022-08-31 00:00:00,buy,1m,-3
