,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi
32,closed,0.017,268.0,-0.01909371781668383,1660203120000.0,1660219200000,24695.0,24275.0,1660203120000.0,24738.5,2022-08-02 00:00:00,sell,15m,4
13,closed,0.017,268.0,-0.01909371781668383,1660203120000.0,1660219200000,24695.0,24275.0,1660203120000.0,24738.5,2022-08-01 00:00:00,sell,15m,4
48,closed,0.017,268.0,-0.01909371781668383,1660203120000.0,1660219200000,24695.0,24275.0,1660203120000.0,24738.5,2022-08-03 00:00:00,sell,15m,4
84,closed,0.0062,3.0,-0.007986146480594886,1660203120000.0,1660203300000,24695.0,24542.5,1660203120000.0,24738.5,2022-08-05 00:00:00,sell,1h,4
104,closed,0.0295,748.0,-0.0410147285851379,1660203120000.0,1660248000000,24695.0,23967.0,1660221000000.0,24950.0,2022-08-06 00:00:00,sell,1h,4
65,closed,0.017,268.0,-0.01909371781668383,1660203120000.0,1660219200000,24695.0,24275.0,1660203120000.0,24738.5,2022-08-04 00:00:00,sell,15m,4
188,closed,0.0098,3.0,-0.010325976918404535,1660221000000.0,1660221180000,24938.5,24695.0,1660221000000.0,24950.0,2022-08-10 00:00:00,sell,4h,2
85,closed,0.0098,3.0,-0.010325976918404535,1660221000000.0,1660221180000,24938.5,24695.0,1660221000000.0,24950.0,2022-08-05 00:00:00,sell,4h,2
14,closed,0.0098,3.0,-0.010325976918404535,1660221000000.0,1660221180000,24938.5,24695.0,1660221000000.0,24950.0,2022-08-01 00:00:00,sell,4h,2
207,closed,0.0098,3.0,-0.010325976918404535,1660221000000.0,1660221180000,24938.5,24695.0,1660221000000.0,24950.0,2022-08-11 00:00:00,sell,4h,2
66,closed,0.0098,3.0,-0.010325976918404535,1660221000000.0,1660221180000,24938.5,24695.0,1660221000000.0,24950.0,2022-08-04 00:00:00,sell,4h,2
33,closed,0.0098,3.0,-0.010325976918404535,1660221000000.0,1660221180000,24938.5,24695.0,1660221000000.0,24950.0,2022-08-02 00:00:00,sell,4h,2
168,closed,0.0098,3.0,-0.010325976918404535,1660221000000.0,1660221180000,24938.5,24695.0,1660221000000.0,24950.0,2022-08-09 00:00:00,sell,4h,2
148,closed,0.0098,3.0,-0.010325976918404535,1660221000000.0,1660221180000,24938.5,24695.0,1660221000000.0,24950.0,2022-08-08 00:00:00,sell,4h,2
105,closed,0.0098,3.0,-0.010325976918404535,1660221000000.0,1660221180000,24938.5,24695.0,1660221000000.0,24950.0,2022-08-06 00:00:00,sell,4h,2
49,closed,0.0098,3.0,-0.010325976918404535,1660221000000.0,1660221180000,24938.5,24695.0,1660221000000.0,24950.0,2022-08-03 00:00:00,sell,4h,2
127,closed,0.0098,3.0,-0.010325976918404535,1660221000000.0,1660221180000,24938.5,24695.0,1660221000000.0,24950.0,2022-08-07 00:00:00,sell,4h,2
202,closed,0.0074,60.0,-0.008027284448696086,1660258800000.0,1660262400000,23867.5,24043.0,1660259340000.0,23850.0,2022-08-11 00:00:00,buy,1m,2
219,closed,0.0078,108.0,-0.01171159926776502,1660263120000.0,1660269600000,23850.0,24036.0,1660263420000.0,23754.5,2022-08-12 00:00:00,buy,1m,-4
201,closed,0.0034,1.0,-0.004085052896197759,1660263240000.0,1660263300000,23786.0,23867.5,1660263300000.0,23770.0,2022-08-11 00:00:00,buy,1m,-2
220,closed,0.0077,308.0,-0.009832285115303983,1660272720000.0,1660291200000,24036.0,23850.0,1660272720000.0,24084.5,2022-08-12 00:00:00,sell,1m,-3
221,closed,0.0021,6.0,-0.003889998335829589,1660297860000.0,1660298220000,24086.5,24036.0,1660297860000.0,24129.5,2022-08-12 00:00:00,sell,1m,-2
218,closed,0.0091,28.0,-0.012285115303983228,1660303920000.0,1660305600000,23635.0,23850.0,1660304340000.0,23557.0,2022-08-12 00:00:00,buy,15m,2
200,closed,0.007,22.0,-0.009627511981838055,1660304280000.0,1660305600000,23620.0,23786.0,1660304340000.0,23557.0,2022-08-11 00:00:00,buy,1m,-3
222,closed,0.0067,4.0,-0.008199613891599029,1660337760000.0,1660338000000,24250.0,24086.5,1660337760000.0,24284.0,2022-08-12 00:00:00,sell,1m,2
